         2: (143,143,199,255) #8F8FC7FF srgba(143,143,199,1)
         5: (144,144,200,255) #9090C8FF srgba(144,144,200,1)
         6: (145,145,200,255) #9191C8FF srgba(145,145,200,1)
        13: (146,146,201,255) #9292C9FF srgba(146,146,201,1)
         9: (147,147,201,255) #9393C9FF srgba(147,147,201,1)
         9: (148,148,202,255) #9494CAFF srgba(148,148,202,1)
         7: (149,149,202,255) #9595CAFF srgba(149,149,202,1)
         4: (150,150,203,255) #9696CBFF srgba(150,150,203,1)
         6: (151,151,203,255) #9797CBFF srgba(151,151,203,1)
         4: (152,152,204,255) #9898CCFF srgba(152,152,204,1)
        12: (153,153,204,255) #9999CCFF srgba(153,153,204,1)
        16: (154,154,205,255) #9A9ACDFF srgba(154,154,205,1)
         3: (155,155,205,255) #9B9BCDFF srgba(155,155,205,1)
         6: (156,156,206,255) #9C9CCEFF srgba(156,156,206,1)
         5: (157,157,206,255) #9D9DCEFF srgba(157,157,206,1)
         8: (158,158,207,255) #9E9ECFFF srgba(158,158,207,1)
         8: (159,159,207,255) #9F9FCFFF srgba(159,159,207,1)
         3: (160,160,208,255) #A0A0D0FF srgba(160,160,208,1)
         7: (161,161,208,255) #A1A1D0FF srgba(161,161,208,1)
         9: (162,162,209,255) #A2A2D1FF srgba(162,162,209,1)
         7: (163,163,209,255) #A3A3D1FF srgba(163,163,209,1)
         9: (164,164,210,255) #A4A4D2FF srgba(164,164,210,1)
         9: (165,165,210,255) #A5A5D2FF srgba(165,165,210,1)
         7: (166,166,211,255) #A6A6D3FF srgba(166,166,211,1)
         6: (167,167,211,255) #A7A7D3FF srgba(167,167,211,1)
         6: (168,168,212,255) #A8A8D4FF srgba(168,168,212,1)
         6: (169,169,212,255) #A9A9D4FF srgba(169,169,212,1)
         5: (170,170,213,255) #AAAAD5FF srgba(170,170,213,1)
         7: (171,171,213,255) #ABABD5FF srgba(171,171,213,1)
         6: (172,172,214,255) #ACACD6FF srgba(172,172,214,1)
        13: (173,173,214,255) #ADADD6FF srgba(173,173,214,1)
         8: (174,174,215,255) #AEAED7FF srgba(174,174,215,1)
         5: (175,175,215,255) #AFAFD7FF srgba(175,175,215,1)
        12: (176,176,216,255) #B0B0D8FF srgba(176,176,216,1)
         8: (177,177,216,255) #B1B1D8FF srgba(177,177,216,1)
         8: (178,178,217,255) #B2B2D9FF srgba(178,178,217,1)
         5: (179,179,217,255) #B3B3D9FF srgba(179,179,217,1)
         6: (180,180,218,255) #B4B4DAFF srgba(180,180,218,1)
         7: (181,181,218,255) #B5B5DAFF srgba(181,181,218,1)
         6: (182,182,219,255) #B6B6DBFF srgba(182,182,219,1)
         8: (183,183,219,255) #B7B7DBFF srgba(183,183,219,1)
         7: (184,184,220,255) #B8B8DCFF srgba(184,184,220,1)
         9: (185,185,220,255) #B9B9DCFF srgba(185,185,220,1)
         3: (186,186,221,255) #BABADDFF srgba(186,186,221,1)
        11: (187,187,221,255) #BBBBDDFF srgba(187,187,221,1)
         3: (188,188,222,255) #BCBCDEFF srgba(188,188,222,1)
         6: (189,189,222,255) #BDBDDEFF srgba(189,189,222,1)
         5: (190,190,223,255) #BEBEDFFF srgba(190,190,223,1)
         8: (191,191,223,255) #BFBFDFFF srgba(191,191,223,1)
         5: (192,192,224,255) #C0C0E0FF srgba(192,192,224,1)
         5: (193,193,224,255) #C1C1E0FF srgba(193,193,224,1)
         8: (194,194,225,255) #C2C2E1FF srgba(194,194,225,1)
         4: (195,195,225,255) #C3C3E1FF srgba(195,195,225,1)
         8: (196,196,226,255) #C4C4E2FF srgba(196,196,226,1)
         7: (197,197,226,255) #C5C5E2FF srgba(197,197,226,1)
         7: (198,198,227,255) #C6C6E3FF srgba(198,198,227,1)
         5: (199,199,227,255) #C7C7E3FF srgba(199,199,227,1)
        10: (200,200,228,255) #C8C8E4FF srgba(200,200,228,1)
         5: (201,201,228,255) #C9C9E4FF srgba(201,201,228,1)
         2: (202,202,229,255) #CACAE5FF srgba(202,202,229,1)
         5: (203,203,229,255) #CBCBE5FF srgba(203,203,229,1)
        15: (204,204,230,255) #CCCCE6FF srgba(204,204,230,1)
        11: (205,205,230,255) #CDCDE6FF srgba(205,205,230,1)
         7: (206,206,231,255) #CECEE7FF srgba(206,206,231,1)
         1: (207,159,159,255) #CF9F9FFF srgba(207,159,159,1)
         6: (207,207,231,255) #CFCFE7FF srgba(207,207,231,1)
         4: (208,208,232,255) #D0D0E8FF srgba(208,208,232,1)
         7: (209,209,232,255) #D1D1E8FF srgba(209,209,232,1)
         3: (210,210,233,255) #D2D2E9FF srgba(210,210,233,1)
         6: (211,211,233,255) #D3D3E9FF srgba(211,211,233,1)
         9: (212,212,234,255) #D4D4EAFF srgba(212,212,234,1)
         6: (213,213,234,255) #D5D5EAFF srgba(213,213,234,1)
         6: (214,214,235,255) #D6D6EBFF srgba(214,214,235,1)
         5: (215,215,235,255) #D7D7EBFF srgba(215,215,235,1)
        11: (216,216,236,255) #D8D8ECFF srgba(216,216,236,1)
         8: (217,217,236,255) #D9D9ECFF srgba(217,217,236,1)
         5: (218,218,237,255) #DADAEDFF srgba(218,218,237,1)
         7: (219,219,237,255) #DBDBEDFF srgba(219,219,237,1)
        10: (220,220,238,255) #DCDCEEFF srgba(220,220,238,1)
        14: (221,221,238,255) #DDDDEEFF srgba(221,221,238,1)
         8: (222,222,239,255) #DEDEEFFF srgba(222,222,239,1)
         6: (223,223,239,255) #DFDFEFFF srgba(223,223,239,1)
        14: (224,224,240,255) #E0E0F0FF srgba(224,224,240,1)
        12: (225,225,240,255) #E1E1F0FF srgba(225,225,240,1)
        16: (226,226,241,255) #E2E2F1FF srgba(226,226,241,1)
         9: (227,227,241,255) #E3E3F1FF srgba(227,227,241,1)
         8: (228,228,242,255) #E4E4F2FF srgba(228,228,242,1)
        12: (229,229,242,255) #E5E5F2FF srgba(229,229,242,1)
         9: (230,230,243,255) #E6E6F3FF srgba(230,230,243,1)
         1: (231,206,206,255) #E7CECEFF srgba(231,206,206,1)
         9: (231,231,243,255) #E7E7F3FF srgba(231,231,243,1)
        12: (232,232,244,255) #E8E8F4FF srgba(232,232,244,1)
        16: (233,233,244,255) #E9E9F4FF srgba(233,233,244,1)
         8: (234,234,245,255) #EAEAF5FF srgba(234,234,245,1)
        11: (235,235,245,255) #EBEBF5FF srgba(235,235,245,1)
         5: (236,236,246,255) #ECECF6FF srgba(236,236,246,1)
         1: (237,219,219,255) #EDDBDBFF srgba(237,219,219,1)
        11: (237,237,246,255) #EDEDF6FF srgba(237,237,246,1)
        26: (238,238,247,255) #EEEEF7FF srgba(238,238,247,1)
         9: (239,239,247,255) #EFEFF7FF srgba(239,239,247,1)
        10: (240,240,248,255) #F0F0F8FF srgba(240,240,248,1)
        18: (241,241,248,255) #F1F1F8FF srgba(241,241,248,1)
        24: (242,242,249,255) #F2F2F9FF srgba(242,242,249,1)
        13: (243,243,249,255) #F3F3F9FF srgba(243,243,249,1)
        10: (244,244,250,255) #F4F4FAFF srgba(244,244,250,1)
        11: (245,245,250,255) #F5F5FAFF srgba(245,245,250,1)
        10: (246,246,251,255) #F6F6FBFF srgba(246,246,251,1)
        14: (247,247,251,255) #F7F7FBFF srgba(247,247,251,1)
        25: (248,248,252,255) #F8F8FCFF srgba(248,248,252,1)
        25: (249,249,252,255) #F9F9FCFF srgba(249,249,252,1)
        43: (250,250,253,255) #FAFAFDFF srgba(250,250,253,1)
        20: (251,251,253,255) #FBFBFDFF srgba(251,251,253,1)
        15: (252,252,254,255) #FCFCFEFF srgba(252,252,254,1)
        33: (253,253,254,255) #FDFDFEFF srgba(253,253,254,1)
        45: (254,254,254,255) #FEFEFEFF srgba(254,254,254,1)
    234427: (255,255,255,255) #FFFFFFFF white
